word,definition
heart,A muscular organ that pumps blood throughout the body
lungs,Organs responsible for gas exchange and breathing
liver,An organ that filters blood and produces bile for digestion
brain,The central organ of the nervous system controlling body functions
blood,The fluid circulating through veins and arteries carrying oxygen and nutrients
nerve,A bundle of fibers transmitting electrical signals throughout the body
spine,The vertebral column protecting the spinal cord
femur,The thighbone, the longest bone in the human body
tibia,The larger of two bones in the lower leg below the knee
venom,A poisonous substance injected by certain animals or organisms
toxin,A harmful substance produced by living cells or organisms
cough,A sudden expulsion of air from the lungs often due to infection
fever,An elevated body temperature above the normal range
virus,A microscopic pathogen that replicates inside host cells
serum,The clear liquid component of blood after clotting
gland,An organ that produces and secretes hormones or other substances
polyp,An abnormal growth protruding from a mucous membrane
tumor,An abnormal growth of cells that may be benign or malignant
ulcer,An open sore on skin or mucous membrane that fails to heal
mucus,A slippery secretion produced by mucous membranes
ankle,The joint connecting the leg and foot
elbow,The joint between the upper arm and forearm
wrist,The joint connecting the forearm to the hand
lymph,A clear fluid containing white blood cells that drains tissues
organ,A distinct structure in the body with a specific function
thigh,The upper leg between the hip and knee
scalp,The skin covering the top and back of the head
thumb,The first digit of the hand with special mobility
colon,The large intestine that absorbs water from digestive waste
aorta,The main artery carrying oxygenated blood from the heart
vital,Essential to life and bodily functions
canal,A tube-shaped passage in the body
sinus,A hollow space in the skull or a blood vessel channel
probe,An instrument used to explore body cavities during examination
brace,A support device used to immobilize or protect a body part
gauze,A thin translucent fabric used for bandaging wounds
stoma,A surgically created opening in the body surface
fiber,A thin strand of tissue or protein
layer,A sheet or level of tissue within the body
sheet,A thin layer or membrane of connective tissue
