word,definition
heart,"A muscular organ that pumps blood through the body, traditionally thought to be the seat of emotion."
lungs,A biological organ of vertebrates that controls breathing and oxygenates the blood.
liver,"A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. It is responsible for thousands of biochemical reactions."
brain,"The control center of the central nervous system of an animal located in the skull which is responsible for perception, cognition, attention, memory, emotion, and action."
blood,A member of the Los Angeles gang The Bloods.
nerve,"A bundle of neurons with their connective tissue sheaths, blood vessels and lymphatics."
spine,"The series of bones situated at the back from the head to the pelvis of a person, or from the head to the tail of an animal; backbone, vertebral column."
femur,A thighbone.
tibia,"The inner and usually the larger of the two bones of the leg or hind limb below the knee, the shinbone"
venom,"A poison carried by an animal, usually injected into an enemy or prey by biting or stinging."
toxin,A toxic or poisonous substance produced by the biological processes of biological organisms.
cough,"A sudden, usually noisy expulsion of air from the lungs, often involuntary."
fever,"A higher than normal body temperature of a person (or, generally, a mammal), usually caused by disease."
virus,"A submicroscopic, non-cellular structure consisting of a core of DNA or RNA surrounded by a protein coat, that requires a living host cell to replicate, and often causes disease in the host organism."
serum,The clear yellowish liquid obtained upon separating whole blood into its solid and liquid components after it has been allowed to clot.
gland,"An organ that synthesizes a substance, such as hormones or breast milk, and releases it, often into the bloodstream (endocrine gland) or into cavities inside the body or its outer surface (exocrine gland)."
polyp,An abnormal growth protruding from a mucous membrane
tumor,"An abnormal growth; differential diagnosis includes abscess, metaplasia, and neoplasia."
ulcer,"An open sore of the skin, eyes or mucous membrane, often caused by an initial abrasion and generally maintained by an inflammation and/or an infection."
mucus,A slippery secretion from the lining of the mucous membranes.
ankle,"The skeletal joint which connects the foot with the leg; the uppermost portion of the foot and lowermost portion of the leg, which contain this skeletal joint."
elbow,The joint between the upper arm and the forearm.
wrist,"The complex joint between forearm bones, carpus, and metacarpals where the hand is attached to the arm; the carpus in a narrow sense."
lymph,(poetical) Pure water.
organ,"A larger part of an organism, composed of tissues that perform similar functions."
thigh,"The upper leg of a human, between the hip and the knee."
scalp,The top of the head; the skull.
thumb,The short thick digit of the hand that for humans has the most mobility and can be made to oppose (moved to touch) all of the other fingers.
colon,"The punctuation mark "":""."
aorta,The great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system.
vital,"Relating to, or characteristic of life."
canal,"An artificial waterway or artificially improved river used for travel, shipping, or irrigation."
sinus,"A pouch or cavity in any organ or tissue, especially the paranasal sinus."
probe,"Any of various medical instruments used to explore wounds, organs, etc."
brace,Armor for the arm; vambrace.
gauze,"A thin fabric with a loose, open weave."
stoma,One of the tiny pores in the epidermis of a leaf or stem through which gases and water vapor pass.
fiber,"A single elongated piece of a given material, roughly round in cross-section, often twisted with other fibers to form thread."
layer,A single thickness of some material covering a surface.
